(0, 'C', 0, 0, 'R', 0) :  0.0 ==> 
(1, 'C', 0, 0, 'R', 25) :  -71.1913114042638 ==> DOWN
(2, 'C', 0, 0, 'R', 50) :  -116.03918217176218 ==> DOWN
(3, 'C', 0, 0, 'R', 75) :  -144.84397202309543 ==> DOWN
(4, 'C', 0, 0, 'R', 100) :  -153.8604476579382 ==> UP
(5, 'C', 0, 0, 'D', 0) :  0.0 ==> 
(6, 'C', 0, 0, 'D', 25) :  -27.849034207743934 ==> RIGHT
(7, 'C', 0, 0, 'D', 50) :  -53.21734776040749 ==> RIGHT
(8, 'C', 0, 0, 'D', 75) :  -103.80474553517386 ==> RIGHT
(9, 'C', 0, 0, 'D', 100) :  -119.26926938223448 ==> RIGHT
(10, 'C', 0, 1, 'R', 0) :  0.0 ==> 
(11, 'C', 0, 1, 'R', 25) :  -54.97719750397996 ==> UP
(12, 'C', 0, 1, 'R', 50) :  -112.88278063517525 ==> DOWN
(13, 'C', 0, 1, 'R', 75) :  -137.21396306132792 ==> DOWN
(14, 'C', 0, 1, 'R', 100) :  -153.0607962682906 ==> UP
(15, 'C', 0, 1, 'D', 0) :  0.0 ==> 
(16, 'C', 0, 1, 'D', 25) :  20.68053426670108 ==> RIGHT
(17, 'C', 0, 1, 'D', 50) :  -49.6920088218689 ==> RIGHT
(18, 'C', 0, 1, 'D', 75) :  -78.16541002742184 ==> RIGHT
(19, 'C', 0, 1, 'D', 100) :  -117.25582640442218 ==> RIGHT
(20, 'C', 0, 2, 'R', 0) :  0.0 ==> 
(21, 'C', 0, 2, 'R', 25) :  -51.34137333217941 ==> LEFT
(22, 'C', 0, 2, 'R', 50) :  -99.82872111078342 ==> DOWN
(23, 'C', 0, 2, 'R', 75) :  -135.15396411044193 ==> DOWN
(24, 'C', 0, 2, 'R', 100) :  -146.16516790087724 ==> UP
(25, 'C', 0, 2, 'D', 0) :  0.0 ==> 
(26, 'C', 0, 2, 'D', 25) :  24.947373143053003 ==> RIGHT
(27, 'C', 0, 2, 'D', 50) :  -10.95988914298822 ==> RIGHT
(28, 'C', 0, 2, 'D', 75) :  -73.07157678713146 ==> RIGHT
(29, 'C', 0, 2, 'D', 100) :  -98.45418701128722 ==> RIGHT
(30, 'C', 0, 3, 'R', 0) :  0.0 ==> 
(31, 'C', 0, 3, 'R', 25) :  -48.23592308219098 ==> LEFT
(32, 'C', 0, 3, 'R', 50) :  -96.90487130786504 ==> LEFT
(33, 'C', 0, 3, 'R', 75) :  -123.8817622293271 ==> DOWN
(34, 'C', 0, 3, 'R', 100) :  -144.62446598813787 ==> UP
(35, 'C', 0, 3, 'D', 0) :  0.0 ==> 
(36, 'C', 0, 3, 'D', 25) :  25.30777721595178 ==> RIGHT
(37, 'C', 0, 3, 'D', 50) :  -4.4437579309354085 ==> RIGHT
(38, 'C', 0, 3, 'D', 75) :  -43.1866008274888 ==> RIGHT
(39, 'C', 0, 3, 'D', 100) :  -94.12357486365374 ==> RIGHT
(40, 'C', 1, 0, 'R', 0) :  0.0 ==> 
(41, 'C', 1, 0, 'R', 25) :  -57.49033742791277 ==> UP
(42, 'C', 1, 0, 'R', 50) :  -106.47963483712863 ==> UP
(43, 'C', 1, 0, 'R', 75) :  -135.75179828763007 ==> UP
(44, 'C', 1, 0, 'R', 100) :  -149.83093488997616 ==> UP
(45, 'C', 1, 0, 'D', 0) :  0.0 ==> 
(46, 'C', 1, 0, 'D', 25) :  -9.489961055316416 ==> UP
(47, 'C', 1, 0, 'D', 50) :  -53.217347224165245 ==> RIGHT
(48, 'C', 1, 0, 'D', 75) :  -99.22102786278215 ==> UP
(49, 'C', 1, 0, 'D', 100) :  -119.26926830068217 ==> RIGHT
(50, 'C', 1, 1, 'R', 0) :  0.0 ==> 
(51, 'C', 1, 1, 'R', 25) :  -53.44025135916659 ==> SHOOT
(52, 'C', 1, 1, 'R', 50) :  -98.07982834627116 ==> UP
(53, 'C', 1, 1, 'R', 75) :  -130.40781246790863 ==> UP
(54, 'C', 1, 1, 'R', 100) :  -145.7738955601477 ==> UP
(55, 'C', 1, 1, 'D', 0) :  0.0 ==> 
(56, 'C', 1, 1, 'D', 25) :  20.680534348125708 ==> RIGHT
(57, 'C', 1, 1, 'D', 50) :  -41.37607579640935 ==> UP
(58, 'C', 1, 1, 'D', 75) :  -78.1654093223942 ==> RIGHT
(59, 'C', 1, 1, 'D', 100) :  -117.25582539897684 ==> RIGHT
(60, 'C', 1, 2, 'R', 0) :  0.0 ==> 
(61, 'C', 1, 2, 'R', 25) :  -51.24378369713772 ==> LEFT
(62, 'C', 1, 2, 'R', 50) :  -95.53269085701234 ==> UP
(63, 'C', 1, 2, 'R', 75) :  -124.69681654212475 ==> UP
(64, 'C', 1, 2, 'R', 100) :  -144.76487882069102 ==> UP
(65, 'C', 1, 2, 'D', 0) :  0.0 ==> 
(66, 'C', 1, 2, 'D', 25) :  24.947373203942753 ==> RIGHT
(67, 'C', 1, 2, 'D', 50) :  -10.959888915233751 ==> RIGHT
(68, 'C', 1, 2, 'D', 75) :  -73.07157619686438 ==> RIGHT
(69, 'C', 1, 2, 'D', 100) :  -98.45418612919983 ==> RIGHT
(70, 'C', 1, 3, 'R', 0) :  0.0 ==> 
(71, 'C', 1, 3, 'R', 25) :  -48.162782000458854 ==> LEFT
(72, 'C', 1, 3, 'R', 50) :  -94.31814495488341 ==> LEFT
(73, 'C', 1, 3, 'R', 75) :  -123.88176036323355 ==> DOWN
(74, 'C', 1, 3, 'R', 100) :  -144.52018745924 ==> LEFT
(75, 'C', 1, 3, 'D', 0) :  0.0 ==> 
(76, 'C', 1, 3, 'D', 25) :  25.307777274953015 ==> RIGHT
(77, 'C', 1, 3, 'D', 50) :  -4.443757738167818 ==> RIGHT
(78, 'C', 1, 3, 'D', 75) :  -43.18660040964333 ==> RIGHT
(79, 'C', 1, 3, 'D', 100) :  -94.12357409661413 ==> RIGHT
(80, 'C', 2, 0, 'R', 0) :  0.0 ==> 
(81, 'C', 2, 0, 'R', 25) :  -52.47626929473417 ==> UP
(82, 'C', 2, 0, 'R', 50) :  -93.08935207772696 ==> UP
(83, 'C', 2, 0, 'R', 75) :  -129.36577426792286 ==> UP
(84, 'C', 2, 0, 'R', 100) :  -146.47676036557826 ==> UP
(85, 'C', 2, 0, 'D', 0) :  0.0 ==> 
(86, 'C', 2, 0, 'D', 25) :  -9.045143472043788 ==> UP
(87, 'C', 2, 0, 'D', 50) :  -43.92713501976144 ==> UP
(88, 'C', 2, 0, 'D', 75) :  -87.55519071932079 ==> UP
(89, 'C', 2, 0, 'D', 100) :  -119.2692584203842 ==> RIGHT
(90, 'C', 2, 1, 'R', 0) :  0.0 ==> 
(91, 'C', 2, 1, 'R', 25) :  -47.547531459776025 ==> SHOOT
(92, 'C', 2, 1, 'R', 50) :  -91.48429310858265 ==> UP
(93, 'C', 2, 1, 'R', 75) :  -125.53711740726439 ==> UP
(94, 'C', 2, 1, 'R', 100) :  -145.3956871354035 ==> UP
(95, 'C', 2, 1, 'D', 0) :  0.0 ==> 
(96, 'C', 2, 1, 'D', 25) :  20.680535091963613 ==> RIGHT
(97, 'C', 2, 1, 'D', 50) :  -40.33890537154754 ==> UP
(98, 'C', 2, 1, 'D', 75) :  -76.57036692659123 ==> UP
(99, 'C', 2, 1, 'D', 100) :  -115.20365130839232 ==> SHOOT
(100, 'C', 2, 2, 'R', 0) :  0.0 ==> 
(101, 'C', 2, 2, 'R', 25) :  -46.22916646456142 ==> LEFT
(102, 'C', 2, 2, 'R', 50) :  -89.54370114190702 ==> UP
(103, 'C', 2, 2, 'R', 75) :  -124.59267610235709 ==> UP
(104, 'C', 2, 2, 'R', 100) :  -144.75834435344 ==> UP
(105, 'C', 2, 2, 'D', 0) :  0.0 ==> 
(106, 'C', 2, 2, 'D', 25) :  24.94737376018852 ==> RIGHT
(107, 'C', 2, 2, 'D', 50) :  -10.959886834629803 ==> RIGHT
(108, 'C', 2, 2, 'D', 75) :  -73.07157080460135 ==> RIGHT
(109, 'C', 2, 2, 'D', 100) :  -98.45417807107242 ==> RIGHT
(110, 'C', 2, 3, 'R', 0) :  0.0 ==> 
(111, 'C', 2, 3, 'R', 25) :  -43.241901414631506 ==> LEFT
(112, 'C', 2, 3, 'R', 50) :  -88.01731530175974 ==> LEFT
(113, 'C', 2, 3, 'R', 75) :  -123.88175401177041 ==> DOWN
(114, 'C', 2, 3, 'R', 100) :  -144.34342270109033 ==> LEFT
(115, 'C', 2, 3, 'D', 0) :  0.0 ==> 
(116, 'C', 2, 3, 'D', 25) :  25.350680692607057 ==> SHOOT
(117, 'C', 2, 3, 'D', 50) :  -4.443755977179283 ==> RIGHT
(118, 'C', 2, 3, 'D', 75) :  -43.186596592502184 ==> RIGHT
(119, 'C', 2, 3, 'D', 100) :  -94.12356708948214 ==> RIGHT
(120, 'N', 0, 0, 'R', 0) :  0.0 ==> 
(121, 'N', 0, 0, 'R', 25) :  -47.490358936188194 ==> STAY
(122, 'N', 0, 0, 'R', 50) :  -77.23801806103278 ==> STAY
(123, 'N', 0, 0, 'R', 75) :  -123.26996522515137 ==> STAY
(124, 'N', 0, 0, 'R', 100) :  -137.12624619036612 ==> STAY
(125, 'N', 0, 0, 'D', 0) :  0.0 ==> 
(126, 'N', 0, 0, 'D', 25) :  -39.43616214643393 ==> DOWN
(127, 'N', 0, 0, 'D', 50) :  -68.0911098231384 ==> DOWN
(128, 'N', 0, 0, 'D', 75) :  -114.93614694408936 ==> DOWN
(129, 'N', 0, 0, 'D', 100) :  -129.29244445470994 ==> DOWN
(130, 'N', 0, 1, 'R', 0) :  0.0 ==> 
(131, 'N', 0, 1, 'R', 25) :  -4.056152538652437 ==> STAY
(132, 'N', 0, 1, 'R', 50) :  -73.63319573542572 ==> STAY
(133, 'N', 0, 1, 'R', 75) :  -101.76652338392505 ==> STAY
(134, 'N', 0, 1, 'R', 100) :  -135.3864763592718 ==> STAY
(135, 'N', 0, 1, 'D', 0) :  0.0 ==> 
(136, 'N', 0, 1, 'D', 25) :  3.564011606224807 ==> DOWN
(137, 'N', 0, 1, 'D', 50) :  -64.63143003283105 ==> DOWN
(138, 'N', 0, 1, 'D', 75) :  -92.37713909475106 ==> DOWN
(139, 'N', 0, 1, 'D', 100) :  -127.4868551378376 ==> DOWN
(140, 'N', 0, 2, 'R', 0) :  0.0 ==> 
(141, 'N', 0, 2, 'R', 25) :  -0.10464994982401787 ==> STAY
(142, 'N', 0, 2, 'R', 50) :  -40.254282243936125 ==> STAY
(143, 'N', 0, 2, 'R', 75) :  -97.31273014653979 ==> STAY
(144, 'N', 0, 2, 'R', 100) :  -119.66605290774636 ==> STAY
(145, 'N', 0, 2, 'D', 0) :  0.0 ==> 
(146, 'N', 0, 2, 'D', 25) :  7.7200573189994675 ==> DOWN
(147, 'N', 0, 2, 'D', 50) :  -30.293147890128648 ==> DOWN
(148, 'N', 0, 2, 'D', 75) :  -87.80287780859435 ==> DOWN
